Name,Servings,OrigIngredient,Match,Qty,UOM,SI_Qty_Per_Serving,SI_UOM,B,L,D,S
Avocado and Corn Salsa,5,1 avocado (diced),avocados,1,each,0.2,each,,TRUE,TRUE,TRUE
Avocado and Corn Salsa,5,"3/4 cup Frozen corn kernels, thawed",best yet frozen cut corn,0.75,cup,35.488125,g,,TRUE,TRUE,TRUE
Avocado and Corn Salsa,5,"1/2 cup grape tomatoes, quartered",grape tomatoes,0.5,cup,23.65875,g,,TRUE,TRUE,TRUE
Avocado and Corn Salsa,5,"1 tablespoon fresh cilantro, chopped",cilantro bunch,1,tablespoon,2.957344,g,,TRUE,TRUE,TRUE
Avocado and Corn Salsa,5,2 teaspoons lime juice,limes,2,teaspoon,1.9715624,g,,TRUE,TRUE,TRUE
Avocado and Corn Salsa,5,1/4 teaspoon salt,badia garlic salt,0.25,teaspoon,0.2464453,g,,TRUE,TRUE,TRUE
Baked Pork Chops,6,"6 pork chops (lean center-cut, 1/2-inch thick)",pork chops,6,each,1,each,,TRUE,TRUE,
Baked Pork Chops,6,"1 onion (medium, thinly sliced)",yellow onions,1,each,0.166666667,each,,TRUE,TRUE,
Baked Pork Chops,6,1/2 cup green pepper (chopped),green bell peppers,0.5,cup,19.715625,g,,TRUE,TRUE,
Baked Pork Chops,6,1/2 cup red pepper (chopped),red bell peppers,0.5,cup,19.715625,g,,TRUE,TRUE,
Baked Pork Chops,6,1/8 teaspoon black pepper,badia whole black pepper,0.125,teaspoon,0.102685542,g,,TRUE,TRUE,
Baked Pork Chops,6,1/4 teaspoon salt,badia garlic salt,0.25,teaspoon,0.205371083,g,,TRUE,TRUE,
Beef & Noodles,4,"3/4 pound ground beef, 85% lean",ground beef 80  lean,0.75,pound,85.048575,g,,TRUE,TRUE,
Beef & Noodles,4,1 1/2 cups water (can take up to 2 cups water),purified water,1.5,cup,88.7203125,g,,TRUE,TRUE,
Beef & Noodles,4,"2 cups egg noodles, uncooked (or any shaped pasta)",best yet medium egg noodles,2,cup,118.29375,g,,TRUE,TRUE,
Beef & Noodles,4,7 portions of Eating Smart Seasoning Mix (1/2 cup or 8 Tablespoons),badia cajun seasoning,7,each,1.75,each,,TRUE,TRUE,
Beef & Noodles,4,salt (optional),badia garlic salt,1,each,0.25,each,,TRUE,TRUE,
Beef & Potatoes,4,1 pound ground beef (90% lean),ground beef 80  lean,1,pound,113.3981,g,,TRUE,TRUE,
Beef & Potatoes,4,1 1/3 cups water,purified water,1.333333333,cup,78.8625,g,,TRUE,TRUE,
Beef & Potatoes,4,"7 medium potatoes, peeled and thinly sliced",red potatoes,7,each,1.75,each,,TRUE,TRUE,
Beef & Potatoes,4,12 tablespoons Eating Smart Seasoning Mix (3/4 cup),badia cajun seasoning,12,tablespoon,44.36016,g,,TRUE,TRUE,
Beef & Potatoes,4,"salt (to taste, optional)",badia garlic salt,1,each,0.25,each,,TRUE,TRUE,
"Beets, Beans, & Greens",6,1/4 cup lemon juice (or vinegar),lemons,0.25,cup,9.8578125,g,,TRUE,TRUE,
"Beets, Beans, & Greens",6,"1 garlic clove, finely chopped",garlic,1,each,0.166666667,each,,TRUE,TRUE,
"Beets, Beans, & Greens",6,2 teaspoons mustard,best yet classic yellow mustard,2,teaspoon,1.642968667,g,,TRUE,TRUE,
"Beets, Beans, & Greens",6,2 tablespoons vegetable oil,best yet vegetable oil,2,tablespoon,4.928906667,g,,TRUE,TRUE,
"Beets, Beans, & Greens",6,2 cups sliced cooked beets (can use canned or fresh),beets,2,cup,78.8625,g,,TRUE,TRUE,
"Beets, Beans, & Greens",6,1 head of lettuce (washed and torn into pieces),romaine lettuce hearts,1,each,0.166666667,each,,TRUE,TRUE,
"Beets, Beans, & Greens",6,"2 cups cooked beans, rinsed (any kind)",goya black beans,2,cup,78.8625,g,,TRUE,TRUE,
Breakfast Burrito with Salsa,4,4 eggs (large),large brown eggs,4,each,1,each,TRUE,,,
Breakfast Burrito with Salsa,4,1/8 cup corn (frozen),best yet frozen cut corn,0.125,cup,7.393359375,g,TRUE,,,
Breakfast Burrito with Salsa,4,1 tablespoon milk (1%),hood whole milk,1,tablespoon,3.69668,g,TRUE,,,
Breakfast Burrito with Salsa,4,"2 cups green pepper (2 Tablespoons, diced)",green bell peppers,2,cup,118.29375,g,TRUE,,,
Breakfast Burrito with Salsa,4,1/4 cup onion (minced),yellow onions,0.25,cup,14.78671875,g,TRUE,,,
Breakfast Burrito with Salsa,4,"1/16 cup tomatoes, fresh (1 Tablespoon, diced)",beefsteak tomatoes,0.0625,cup,3.696679688,g,TRUE,,,
Breakfast Burrito with Salsa,4,1 teaspoon mustard,best yet classic yellow mustard,1,teaspoon,1.2322265,g,TRUE,,,
Breakfast Burrito with Salsa,4,1/4 teaspoon garlic (granulated),garlic,0.25,teaspoon,0.308056625,g,TRUE,,,
Breakfast Burrito with Salsa,4,hot pepper sauce (optional),red devil hot sauce,1,each,0.25,each,TRUE,,,
Breakfast Burrito with Salsa,4,4 flour tortillas (8 inch),best yet soft flour tortillas 6 ,4,each,1,each,TRUE,,,
Breakfast Burrito with Salsa,4,1/4 cup salsa (canned),cacique homestyle hot salsa,0.25,cup,14.78671875,g,TRUE,,,
Chicken Rice Salad,4,4 cups lettuce,romaine lettuce hearts,4,cup,236.5875,g,,TRUE,TRUE,
Chicken Rice Salad,4,2 cups brown rice (cooked),goya medium grain brown rice,2,cup,118.29375,g,,TRUE,TRUE,
Chicken Rice Salad,4,"2 cups chicken breast, skinless roasted",chicken breast,2,cup,118.29375,g,,TRUE,TRUE,
Chicken Rice Salad,4,1 tomato (cored and diced),tomato medley,1,each,0.25,each,,TRUE,TRUE,
Chicken Rice Salad,4,1 green pepper (cored and diced),green bell peppers,1,each,0.25,each,,TRUE,TRUE,
Chicken Rice Salad,4,1 tablespoon olive oil,best yet pure olive oil,1,tablespoon,3.69668,g,,TRUE,TRUE,
Chicken Rice Salad,4,"1 lemon, juiced",lemons,1,each,0.25,each,,TRUE,TRUE,
Chicken Rice Salad,4,2 tablespoons vinegar (flavored),best yet white vinegar,2,tablespoon,7.39336,g,,TRUE,TRUE,
Chicken Rice Salad,4,hot pepper sauce (optional),red devil hot sauce,1,each,0.25,each,,TRUE,TRUE,
Chicken Rice Salad,4,Italian herb mix and black pepper to taste (optional),badia whole black pepper,1,each,0.25,each,,TRUE,TRUE,
Creamy Chicken Hash,4,"1 russet potato (scrubbed, medium 6 ounce)",russet chef potatoes,1,each,0.25,each,,TRUE,TRUE,
Creamy Chicken Hash,4,"2 tablespoons butter (or canola oil, divided)",exceptional value canola oil,2,tablespoon,7.39336,g,,TRUE,TRUE,
Creamy Chicken Hash,4,"1/2 onion (small, finely chopped)",yellow onions,0.5,each,0.125,each,,TRUE,TRUE,
Creamy Chicken Hash,4,1/4 cup green bell pepper (finely chopped),green bell peppers,0.25,cup,14.78671875,g,,TRUE,TRUE,
Creamy Chicken Hash,4,1/4 cup red bell pepper (finely chopped),red bell peppers,0.25,cup,14.78671875,g,,TRUE,TRUE,
Creamy Chicken Hash,4,1/4 cup celery (finely chopped),celery bunch,0.25,cup,14.78671875,g,,TRUE,TRUE,
Creamy Chicken Hash,4,"1 garlic clove (small, finely chopped)",garlic,1,each,0.25,each,,TRUE,TRUE,
Creamy Chicken Hash,4,canola cooking spray,exceptional value canola oil,1,each,0.25,each,,TRUE,TRUE,
Creamy Chicken Hash,4,2 cups skinless cooked chicken breast (diced),chicken breast,2,cup,118.29375,g,,TRUE,TRUE,
Creamy Chicken Hash,4,"2 tablespoons milk, 2%",hood whole milk,2,tablespoon,7.39336,g,,TRUE,TRUE,
Creamy Chicken Hash,4,"1/8 cayenne pepper (pinch of, or to taste)",badia ground cayenne pepper,0.125,each,0.03125,each,,TRUE,TRUE,
Creamy Chicken Hash,4,"salt (and freshly ground black pepper, to taste)",badia whole black pepper,1,each,0.25,each,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,1 large sweet potato (orange flesh),sweet potatoes,1,each,0.25,each,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,2 cups fresh kale (chopped),kale,2,cup,118.29375,g,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,1 tablespoon vegetable oil (divided),best yet vegetable oil,1,tablespoon,3.69668,g,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,1 1/2 cups water,purified water,1.5,cup,88.7203125,g,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,1 cup non-fat milk,planet oat original oat milk,1,cup,59.146875,g,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,3/4 cup grits (quick cooking),quaker quick 5 minute grits,0.75,cup,44.36015625,g,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,1/4 teaspoon salt,badia garlic salt,0.25,teaspoon,0.308056625,g,,TRUE,TRUE,
Eggs over Kale and Sweet Potato Grits,4,4 eggs,large brown eggs,4,each,1,each,,TRUE,TRUE,
New England Johnny Cake,24,2 egg (beaten),large brown eggs,2,each,0.083333333,each,,TRUE,TRUE,
New England Johnny Cake,24,3/4 cup sugar,best yet granulated sugar,0.75,cup,7.393359375,g,,TRUE,TRUE,
New England Johnny Cake,24,2 cups flour,best yet all purpose flour,2,cup,19.715625,g,,TRUE,TRUE,
New England Johnny Cake,24,1 cup yellow cornmeal,yellow onions,1,cup,9.8578125,g,,TRUE,TRUE,
New England Johnny Cake,24,1 tablespoon baking powder,best yet baking powder,1,tablespoon,0.616113333,g,,TRUE,TRUE,
New England Johnny Cake,24,3/4 teaspoon salt,badia garlic salt,0.75,teaspoon,0.154028313,g,,TRUE,TRUE,
New England Johnny Cake,24,cup vegetable oil,best yet vegetable oil,1,each,0.041666667,each,,TRUE,TRUE,
New England Johnny Cake,24,1 1/2 cups skim or reconstituted non-fat dry milk,planet oat original oat milk,1.5,cup,14.78671875,g,,TRUE,TRUE,
New England Johnny Cake,24,1 teaspoon vegetable oil (or spray),best yet vegetable oil,1,teaspoon,0.205371083,g,,TRUE,TRUE,
Oven Fried Fish,4,1 egg (slightly beaten),large brown eggs,1,each,0.25,each,,TRUE,TRUE,
Oven Fried Fish,4,"salt (optional, 1/2 teaspoon)",badia garlic salt,1,each,0.25,each,,TRUE,TRUE,
Oven Fried Fish,4,1/2 teaspoon ground black pepper,badia whole black pepper,0.5,teaspoon,0.61611325,g,,TRUE,TRUE,
Oven Fried Fish,4,"1 pound tilapia fillets, fresh or thawed (4 fillets)",ga whiting fillets,1,pound,113.3981,g,,TRUE,TRUE,
Oven Fried Fish,4,1/2 cup bread crumbs,best yet plain bread crumbs,0.5,cup,29.5734375,g,,TRUE,TRUE,
Oven Fried Fish,4,"1 tablespoon butter, melted",cloverdale salted butter,1,tablespoon,3.69668,g,,TRUE,TRUE,
Oven Fried Fish,4,"fresh lime or lemon (sliced, optional)",lemons,1,each,0.25,each,,TRUE,TRUE,
Oven Roasted Chicken,6,"1 chicken, broiler/fryer (thawed, if frozen)",chicken drumsticks,1,each,0.166666667,each,,TRUE,TRUE,
Oven Roasted Chicken,6,"2 tablespoons Italian dressing, low-fat (or olive oil)",best yet lite italian dressing,2,tablespoon,4.928906667,g,,TRUE,TRUE,
Oven Roasted Chicken,6,1 teaspoon garlic salt,garlic,1,teaspoon,0.821484333,g,,TRUE,TRUE,
Oven Roasted Chicken,6,"1 lemon, quartered (or orange)",lemons,1,each,0.166666667,each,,TRUE,TRUE,
Peanut Butter Cereal Bars,16,1/2 cup honey (see Notes),best yet honey bear,0.5,cup,7.393359375,g,TRUE,,,TRUE
Peanut Butter Cereal Bars,16,1 cup peanut butter,teddie peanut butter chunky,1,cup,14.78671875,g,TRUE,,,TRUE
Peanut Butter Cereal Bars,16,2 cups rice cereal,bombay basmati rice,2,cup,29.5734375,g,TRUE,,,TRUE
Peanut Butter Cereal Bars,16,2 cups quick oats,best yet quick oats,2,cup,29.5734375,g,TRUE,,,TRUE
Peanut Butter Cereal Bars,16,1 cup raisins or other dried fruit,daily table raisins,1,cup,14.78671875,g,TRUE,,,TRUE