,Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg)
563,Potato Beef Casserole,329,9,3,34,484,46,5,6,16,1,118,3,1171,3,2,2,0.3,1,0,291,67,269,11,3,34,0.8,1.2,44,0,16,45,0.2,0.3,5,68
700,Split Pea Soup,329,6,1,0,447,54,20,10,23,0,82,4,1143,3,2,2,0.4,0,0,578,94,294,2,3,310,0.2,0.2,8,1,28,155,0.5,0.2,5,83
358,Great Northern Bean Soup,327,7,1,40,260,41,13,3,25,0,153,6,1027,3,3,2,0.4,2,7,513,110,272,15,3,16,0.4,0,5,0,0,0,0,0,0,0
562,Pot Roasted Beef,327,3,1,31,208,51,6,6,23,0,47,3,1318,1,0,0,0.1,1,0,395,68,244,16,3,94,0.7,0,33,0,10,60,0.3,0.2,5,95
463,Meaty Stuffed Potatoes,326,2,1,48,208,49,7,8,28,1,215,3,1360,0,0,0,0,0,5,324,87,427,24,2,236,1.1,0.6,71,0,37,77,0.3,0.4,7,91
596,Red Bean Quesadilla,326,9,5,22,509,48,11,3,18,0,280,4,596,2,1,0,0.3,0,0,380,125,360,31,3,386,0.3,0.2,2,2,302,131,0.3,0.4,3,60
62,Banana Pancakes with Apple Topping,325,10,2,65,215,54,5,24,8,1,194,2,404,4,4,3,0.4,0,10,156,48,212,22,1,65,0.3,0.4,7,1,10,73,0.2,0.3,2,72
99,Black Bean Soup,322,6,0,0,917,60,20,4,20,0,158,7,1173,1,4,0,0.2,0,0,638,122,372,5,2,263,0.3,0.1,13,3,36,209,0.5,0.4,2,79
770,Tomato N' Cheese Pasta,322,11,3,9,153,47,6,7,14,0,239,4,516,6,1,1,0.1,0,0,389,72,256,37,2,41,0.4,0.4,22,3,19,30,0.3,0.2,2,33
393,Honey Baked Lentils,321,3,1,20,44,52,15,18,23,0,57,7,839,1,0,0,0.1,0,0,514,77,388,10,4,153,0.5,0,5,0,9,334,0.3,0.2,4,82
37,Avocado Melon Breakfast Smoothie,320,11,2,5,170,46,5,37,13,1,400,1,550,3,3,1,0.1,0,0,98,34,183,5,1,42,0.2,0.7,48,1,9,46,0.1,0.3,1,28
822,Veggie Quesadillas II,318,6,3,14,631,49,8,5,19,0,273,3,532,1,1,1,0.1,0,0,234,84,410,39,3,214,0.4,0.5,76,1,42,99,0.3,0.4,4,33
832,White Chicken Chili,317,10,3,41,810,35,8,3,24,0,173,4,776,5,1,1,0.2,1,2,317,94,343,19,2,23,0.5,0.2,15,2,9,137,0.3,0.2,5,76
599,Red Hot Fusilli,315,5,1,0,159,56,5,6,11,0,50,3,534,3,1,1,0.1,0,0,280,53,140,41,1,94,0.3,0,30,2,85,221,0.5,0.3,4,23
507,Orange Glazed Skinless Chicken Wings,314,18,8,114,305,22,0,19,16,0,34,1,169,7,3,2,0.1,3,4,65,15,104,18,1,68,0.4,0.3,2,1,1,10,0.1,0.1,4,78
469,Mexican Pozole Soup,313,14,5,95,428,16,2,3,30,0,36,4,425,6,1,1,0,3,1,211,36,245,27,9,9,0.4,2.2,7,1,6,40,0.3,0.3,4,115
810,Vegetable Stroganoff,313,5,1,2,70,59,9,12,13,0,169,4,779,1,3,0,0.1,0,0,449,94,260,43,2,323,0.6,0.2,63,3,38,60,0.3,0.3,3,43
64,Banana Waldorf,312,2,1,5,151,66,3,55,12,1,382,1,835,0,1,1,0.3,0,0,231,64,321,9,2,9,0.5,1.1,12,0,2,43,0.1,0.5,1,44
521,Party-Time Pasta,312,7,2,30,346,45,7,6,18,0,124,4,519,2,2,2,0.1,5,3,343,57,232,32,2,247,0.3,0,15,1,108,131,0.4,0.4,6,58
610,Roast Chicken,312,25,7,81,81,0,0,0,20,0,15,1,240,11,5,5,0.2,11,57,88,24,198,16,1,59,0.4,0.4,0,1,5,8,0.1,0.2,7,75
516,Overnight Oatmeal with Berries,311,4,1,7,86,53,9,21,17,1,268,2,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Fish Braised in Green Curry with Potatoes,310,10,3,85,410,19,3,1,38,4,20,3,508,4,1,1,0.1,206,162,0,39,431,41,1,30,0.3,1.7,6,1,65,17,0.1,0.1,4,108
486,Mozzarella Chicken with Garlic Spinach,310,12,4,100,364,9,2,1,41,0,307,3,697,4,2,1,0.3,10,20,170,96,423,35,2,384,0.8,1,20,2,345,156,0.2,0.4,15,104
797,Tuscan Potato Skillet,310,10,2,75,450,27,4,4,28,0,60,2,1029,6,2,1,0.1,11,0,232,74,354,32,2,13,1.1,0.4,27,1,16,46,0.2,0.2,17,117
379,Hearty Mexican Soup,309,1,0,0,322,62,19,5,16,0,140,6,1360,0,0,0,0.1,0,0,642,117,323,4,2,13,0.6,0,41,2,16,162,0.5,0.4,3,72
656,Skillet Pasta Dinner,308,6,1,28,277,47,7,7,16,0,75,3,496,2,2,2,0.1,5,3,283,55,190,38,2,164,0.4,0.4,13,2,21,151,0.8,0.4,6,52
336,Full of Beans Hot Dish,304,6,2,36,441,43,8,16,21,0,86,4,708,2,1,0,0.2,0,0,333,74,279,14,4,5,0.3,1.3,4,1,6,103,0.2,0.2,3,77
419,Kale Salad with Yogurt Dressing,304,22,3,1,129,17,4,4,18,0,200,4,714,9,7,6,0.2,0,0,1400,198,461,5,3,345,0.3,0,104,2,484,43,0.1,0.2,2,26
839,Yogurt Berry Parfait,304,9,2,6,89,46,5,30,11,1,240,2,613,3,3,3,0.2,0,0,259,87,320,15,2,17,0.3,0.7,19,4,7,52,0.3,0.4,1,40
554,Pineapple Chicken,303,6,2,141,240,8,0,7,52,0,32,2,485,2,1,1,0.1,17,33,126,55,380,46,2,11,1,0,5,0,1,9,0.2,0.2,23,144
565,Potato Nachos,302,10,3,39,294,39,6,4,16,0,157,3,1157,3,2,2,0.2,6,3,340,71,288,14,2,76,0.8,0,50,1,25,58,0.2,0.2,5,56
236,Curried Chicken Salad,301,18,4,96,438,7,2,5,27,0,48,2,377,6,7,2,0.1,10,51,122,35,210,30,3,35,0.4,0.4,3,1,37,18,0.1,0.3,7,77
306,Fresh Tomato Sauce,301,5,1,3,83,52,5,6,12,0,100,3,524,2,2,1,0.2,0,0,262,51,166,38,1,126,0.3,0.1,34,1,22,196,0.5,0.3,3,23
801,Uncooked Tomato Sauce,301,5,1,3,80,52,5,6,12,0,97,2,546,2,1,1,0.1,0,0,271,51,168,38,1,93,0.3,0.1,37,1,23,197,0.5,0.3,4,24
38,"Avocado, Potato, and Grilled Chicken Salad",300,11,2,40,280,34,6,6,19,0,60,2,1228,7,2,1,0.1,6,11,0,78,296,0,2,37,1,0.3,0,2,45,79,0.2,0.2,10,81
385,Herbed Garden Pizza,300,17,3,5,300,42,8,0,10,0,200,3,430,5,1,1,0.1,0,0,276,59,264,25,2,123,0.3,0.2,12,2,82,62,0.2,0.2,3,27
808,Vegetable Soup with Chicken,300,4,1,38,305,49,9,9,21,0,56,2,789,2,1,1,0.1,6,106,218,62,226,11,2,609,0.5,0,26,0,0,0,0,0,0,0
650,Simple Green Smoothie,299,4,2,0,156,56,7,38,13,1,454,2,1119,0,0,0,0,0,0,659,83,363,10,2,263,0.5,0,0,1,242,0,0.2,0.6,2,56
760,Three Sisters Stew,298,6,3,26,321,48,9,7,17,0,71,3,933,2,1,1,0.1,0,0,335,71,235,9,3,43,0.5,0,18,2,18,72,0.2,0.2,6,69
464,Mediterranean Chicken and White Bean Salad,297,11,2,32,288,31,8,2,20,0,138,6,820,3,5,1,0.1,0,0,408,93,201,0,3,9,0.3,0.1,9,2,41,105,0.2,0.2,2,67
522,Pasta Bolognese,297,6,2,23,114,47,8,3,16,0,121,3,290,3,1,0,0,1,0,338,63,250,47,2,55,0.3,0.8,5,1,5,18,0.2,0.2,3,42
84,Beefy Macaroni and Cheese,296,12,6,68,258,22,3,3,24,0,152,3,470,4,1,1,0.1,0,0,180,40,263,31,5,58,0.4,2,13,1,4,84,0.8,0.3,6,65
171,Chicken Salad and Peach Sandwich,296,6,1,34,522,44,6,16,18,0,111,2,440,1,3,2,0.4,1,2,251,65,229,26,2,22,0.5,0.1,5,2,12,44,0.3,0.2,6,48
756,The Bosnian Pot,296,6,2,64,74,36,7,8,26,0,84,4,1160,2,1,0,0.1,2,1,305,69,264,23,6,163,0.9,1.6,90,1,82,88,0.3,0.3,5,115
502,One Pan Spaghetti,295,7,3,35,319,37,3,4,18,0,128,3,336,2,1,1,0.1,0,0,187,41,209,37,3,31,0.3,1.1,2,1,8,136,0.3,0.3,6,43
536,Peanut Butter and Apple Wraps,295,14,2,0,294,33,5,9,12,0,25,2,367,7,4,4,0.1,0,0,314,92,213,14,2,1,0.2,0,2,4,2,41,0.2,0.1,6,31
761,Tic Tac Toe Veggie Pizza,294,5,1,5,449,56,9,6,12,0,91,3,537,1,1,1,0.1,0,0,322,82,237,39,2,205,0.5,0.2,48,2,13,67,0.4,0.2,5,36
65,Banana Walnut Oatmeal,292,6,1,2,118,52,5,21,11,1,180,2,590,1,3,2,0.3,0,0,277,96,301,15,3,82,0.3,0.5,6,0,1,33,0.3,0.4,1,42
462,Meatloaf,292,14,5,104,262,26,2,3,18,9,21,2,366,3,1,1,0,0,0,120,40,202,17,4,7,0.3,0,0,0,1,44,0.1,0.2,5,81
539,Peanut Butter Bread,291,15,3,39,385,30,2,11,11,1,147,2,292,7,4,3,0,0,6,165,59,217,13,1,37,0.1,0.3,0,3,0,89,0.2,0.3,5,62
10,Apple & Chicken Salad,290,8,2,65,330,34,4,12,25,0,56,2,553,2,3,6,0.7,7,14,140,38,208,19,1,70,0.6,0.3,7,1,43,36,0.1,0.2,10,69
569,"Potato, Black Bean, & Kale Skillet",290,7,1,0,200,47,8,3,13,0,158,3,1090,5,1,1,0.1,0,0,650,71,127,3,1,73,0.2,0,79,2,100,15,0.1,0.1,1,55
210,Cookie Cutter Appetizers,289,5,3,16,367,50,11,8,12,0,100,3,494,1,1,0,0.1,0,0,264,75,228,20,2,436,0.2,0.3,6,1,43,66,0.3,0.4,3,56
218,Country Style Potato Salad,289,12,2,10,331,38,6,7,8,0,106,2,948,9,1,1,0.1,0,0,266,62,198,4,1,22,0.6,0.2,49,1,35,66,0.3,0.2,3,40
683,Spanish Omelet,289,10,3,121,238,35,5,4,17,1,188,2,1052,4,1,1,0.1,0,17,318,64,296,21,2,86,0.7,0.7,64,1,9,62,0.2,0.5,3,121
207,Confetti Grain Salad,288,11,2,0,225,43,5,3,6,0,41,1,194,7,1,1,0.1,0,0,217,82,157,15,1,111,0.3,0,12,2,74,27,0.2,0.1,3,27
537,Peanut Butter Banana Breakfast Shake,288,9,2,5,161,41,4,28,13,3,318,1,916,4,2,2,0,0,0,199,89,341,9,2,153,0.6,1.2,10,2,1,47,0.2,0.5,3,64
796,Turtle Apple,288,1,0,0,20,74,6,66,2,0,34,1,429,0,0,0,0,0,0,173,34,50,1,1,133,0.2,0,0,1,2,0,0.2,0.2,2,27
165,Chicken Noodle Soup,287,5,1,149,338,34,2,3,32,17,46,3,537,2,1,1,0.1,14,41,170,55,346,41,2,326,0.7,0.6,4,1,13,131,0.4,0.3,13,86
719,Stuffed Summer Squash,287,3,1,3,194,55,9,6,12,0,147,3,824,1,1,1,0.2,0,0,402,123,265,16,2,200,0.6,0.1,29,1,14,90,0.3,0.3,3,46
33,Aunt Barbara's Chocolate Squash Cake,286,17,3,41,378,33,1,17,4,0,77,2,169,7,6,6,0.7,0,6,189,23,141,9,1,19,0,0.1,0,2,12,48,0.1,0.1,1,35
501,One Pan Potatoes & Chicken,285,7,1,47,316,35,4,3,21,0,32,2,868,3,3,2,0.3,6,11,221,59,237,16,1,14,0.8,0.2,33,1,11,46,0.2,0.1,10,74
556,Pineapple Pork,285,9,3,88,157,11,1,10,38,1,23,1,463,4,2,2,0.2,0,0,182,40,295,52,3,9,0.8,0.8,30,1,6,6,0.8,0.3,13,135
786,Tuna Slider with Green Chiles,285,7,1,22,736,34,2,6,20,3,0,0,0,2,4,3,0.5,26,124,0,0,0,0,0,16,0.3,1.8,16,1,19,126,0.3,0.2,10,32
416,Jollof Rice,284,11,3,32,113,33,2,5,13,0,47,3,544,5,2,2,0.1,5,23,271,39,164,15,1,56,0.4,0.2,16,2,7,98,0.4,0.2,6,47
300,Four Layer Casserole,283,9,3,50,103,31,5,3,20,0,72,3,891,4,0,0,0.1,2,1,239,57,256,13,4,106,0.7,1.7,29,0,14,37,0.2,0.2,5,75
535,Peanut Butter 'n Fruit-wich,283,18,4,0,242,22,4,8,11,0,62,1,358,8,4,4,0.1,0,0,225,84,199,9,2,1,0.2,0,2,4,3,36,0.1,0.1,5,39
508,Orange Pork Chops,282,5,2,88,119,17,3,6,39,1,43,2,612,2,1,1,0,0,0,221,48,320,53,3,467,0.9,0.8,19,1,1,17,0.8,0.4,13,141
661,Slow Cooker Beef Stew,282,5,2,68,216,29,4,4,30,0,42,3,833,2,0,0,0,3,1,226,52,258,32,5,255,0.8,1.5,26,1,9,55,0.2,0.2,7,121
274,Eggs over Kale and Sweet Potato Grits,280,9,2,185,410,38,4,7,12,1,150,3,579,3,3,1,0.1,2,16,636,53,236,22,1,695,0.4,0.9,24,1,244,104,0.3,0.5,2,130
443,Macaroni & Cheese with Broccoli,280,4,2,12,277,40,3,5,19,1,280,2,290,1,0,0,0.1,0,0,136,40,340,36,2,79,0.2,0.6,26,0,30,156,0.4,0.4,2,32
489,Mushroom Beef Sloppy Joes,280,11,2,20,240,37,6,13,13,0,80,1,837,5,3,3,0.5,0,0,644,65,269,35,3,53,0.5,0.7,6,4,15,45,0.2,0.7,10,60
631,Sarah’s Spicy Curry Turkey Soup,280,9,3,56,339,26,4,5,26,0,75,3,858,3,2,1,0.1,0,29,321,54,257,26,3,424,0.6,0.4,13,1,67,60,0.2,0.3,7,79
591,Quick Tuna Casserole,279,6,2,34,665,41,3,6,15,1,140,3,265,1,2,2,0.2,8,55,191,45,213,44,1,73,0.2,1.1,3,1,18,145,0.5,0.3,6,50
159,Chicken Apple Salad Sandwich,278,9,2,18,463,38,5,12,12,0,111,2,361,2,4,4,0.4,2,7,191,54,172,19,1,16,0.2,0.1,6,2,24,38,0.3,0.2,4,32
652,Simply Satisfying Kale and Tuna Salad,278,16,2,30,262,16,3,3,22,1,0,0,0,10,2,2,0.3,23,164,0,0,0,0,0,690,0.7,2.1,170,3,954,49,0.2,0.2,10,26
654,Skillet Meals,276,1,0,0,724,55,12,9,16,0,200,7,1159,0,1,0,0.1,0,0,615,125,237,8,2,50,0.3,0,41,4,64,128,0.3,0.2,3,73
778,Tuna Apple Salad,276,2,0,30,533,49,5,28,20,1,67,3,665,0,1,0,0,23,161,280,59,230,69,1,99,0.5,2.2,6,1,63,56,0.2,0.2,10,41
496,Oat! My Tropical Pizza,275,6,1,94,337,37,6,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,Slow Cooker Hamburger Stew,275,10,4,71,240,22,5,6,25,0,88,4,1022,4,1,0,0.1,0,0,263,58,269,19,6,293,0.8,2.5,32,1,17,46,0.7,0.3,7,91
799,Two Bean Chili,275,9,4,39,284,32,8,12,18,0,64,4,860,2,0,0,0.1,0,0,332,66,246,11,4,45,0.5,0,31,1,9,86,0.2,0.2,4,76
96,Black Bean Burgers,274,5,1,53,668,47,12,4,13,0,106,4,516,1,2,1,0.1,1,5,370,91,264,29,2,25,0.2,0.2,5,1,29,93,0.3,0.3,3,71
170,Chicken Rice Salad,274,7,1,68,356,27,3,3,25,0,42,2,593,4,1,1,0.1,3,4,186,77,277,33,1,117,0.9,0.1,44,1,64,60,0.2,0.2,9,72
229,Crispy Taquitos,273,6,1,19,282,43,7,5,14,0,139,1,447,2,2,2,0.2,1,1,192,75,373,12,1,39,0.5,0.1,30,1,23,32,0.1,0.2,4,36
12,Apple Cake,272,11,7,72,106,40,1,22,4,0,63,1,76,3,1,1,0.1,0,7,59,8,69,11,0,102,0,0.1,3,0,1,62,0.2,0.2,1,43
811,Vegetarian Chili,272,9,1,0,286,42,12,14,12,0,163,7,1466,3,4,3,0.7,0,0,524,111,264,3,2,85,1,0,99,4,45,183,0.4,0.5,3,62
175,Chicken Spanish Rice,270,8,2,38,513,26,3,4,23,0,64,3,430,3,2,2,0.1,8,162,171,39,177,20,2,72,0.4,0.8,30,1,10,84,0.7,0.2,4,68
239,Curried Potatoes with Red Lentils,270,14,10,5,344,31,7,5,8,0,43,3,689,2,1,0,0,0,0,357,57,183,5,1,170,0.4,0,18,1,4,108,0.2,0.1,2,33
712,"Strawberries, White Bean, and Edamame Salad",270,10,2,10,0,30,10,8,14,0,208,6,310,5,2,2,0.4,2,0,411,112,120,6,1,236,0.3,0.2,62,3,245,343,0.5,0.2,0,67
163,Chicken Club Salad,268,11,3,70,853,28,6,8,14,0,127,2,750,3,4,3,0.5,1,8,245,49,200,21,1,731,0.4,0.2,22,2,135,142,0.2,0.3,4,83
682,Spanish Frittata,268,9,2,279,395,35,5,3,12,1,64,3,907,3,2,1,0,3,24,279,53,239,22,1,92,0.7,0.9,38,1,8,66,0.2,0.4,2,190
774,Tostadas Delgadas,268,9,4,15,667,35,5,2,11,0,194,3,378,3,1,1,0.2,0,0,186,41,210,17,1,70,0.1,0.1,4,0,19,135,0.3,0.2,2,21
63,Banana Split Oatmeal,267,3,1,5,360,53,4,28,9,0,179,1,508,1,1,1,0.1,0,0,182,69,246,11,2,14,0.3,0.5,6,0,1,29,0.2,0.3,1,30
221,Cranberry Salad,267,6,1,0,155,52,2,48,4,0,32,1,141,1,4,3,0.8,0,0,231,24,76,3,0,6,0.1,0,7,1,7,20,0.1,0.1,0,9
278,Enchilada Rice,267,10,5,57,219,24,2,2,20,0,88,2,334,4,1,1,0.1,0,0,143,52,253,20,5,25,0.4,1.8,4,0,1,28,0.1,0.2,5,63
420,Kelly's Herbed Lentils and Rice Casserole,267,4,2,8,673,42,10,3,16,0,155,4,597,1,1,0,0.1,0,0,396,80,351,13,2,23,0.4,0.4,15,0,8,195,0.3,0.2,3,50
794,Turkey Stuffed Cabbage,267,10,3,61,220,27,7,15,21,0,147,3,784,4,2,2,0.1,6,3,208,57,242,21,4,138,0.7,1.5,81,1,143,100,0.7,0.3,6,81
559,Polenta with Pepper and Cheese,266,7,3,12,680,41,8,3,13,0,241,3,445,2,1,1,0.2,0,0,270,77,293,8,2,79,0.2,0.4,32,0,0,93,0.2,0.2,2,0
748,Taco Soup,265,5,2,28,503,39,10,5,19,0,64,5,767,2,1,1,0.2,0,0,330,68,256,10,4,24,0.4,1,13,1,10,151,0.6,0.2,4,74
567,Potato Spinach Casserole,263,12,4,13,678,24,2,9,15,1,361,1,533,6,2,0,0,0,0,121,43,283,11,2,140,0.2,0.4,16,1,31,34,0.1,0.5,1,30
46,Baked Lemon Chicken,261,5,1,123,521,12,2,5,40,0,54,3,684,2,1,1,0.1,19,57,167,57,418,33,3,26,1,0.7,23,0,16,34,0.2,0.3,15,0
538,Peanut Butter Banana Smoothie,260,8,2,6,136,40,4,28,11,2,0,0,0,3,2,2,0,0,0,0,0,0,0,0,85,0.5,0.9,9,1,1,42,0.1,0.4,2,50
542,Peanutty Stew,260,12,2,1,526,31,5,6,10,0,104,2,558,6,3,3,0,0,0,298,97,224,10,2,225,0.4,0.2,19,3,57,51,0.4,0.2,5,42
835,Whole Grain Strawberry Pancakes,260,9,2,93,390,36,4,16,9,1,144,2,300,5,3,2,0.6,1,8,163,51,216,27,1,36,0.2,0.5,25,2,6,36,0.2,0.3,2,71
82,Beef and Vegetable Soup,258,9,3,39,336,30,4,5,15,0,47,3,590,2,1,1,0.1,0,0,203,49,197,14,0,0,0,0,0,0,0,0,0,0,0,0
622,Round Steak Casserole,258,6,2,56,567,29,5,7,23,0,63,4,871,2,1,0,0,0,0,276,56,217,23,4,27,0.7,1.1,35,1,26,44,0.5,0.2,5,102
188,Chili Tomato Macaroni,257,10,4,57,264,21,3,7,21,0,148,3,622,4,1,1,0.1,2,1,0,46,252,25,4,89,0.5,2.1,15,1,7,63,0.8,0.4,5,74
557,Pink Party Salad,255,7,1,93,143,41,7,12,8,0,47,2,907,4,1,1,0.1,1,8,242,58,169,8,1,62,0.5,0.2,35,1,12,123,0.2,0.2,2,79
729,Summer Vegetable Spaghetti,255,3,1,3,246,48,5,7,11,0,102,3,530,1,1,0,0.1,0,0,291,56,161,33,1,58,0.2,0.1,18,1,24,171,0.4,0.3,3,27
308,Frosted Cake,253,5,2,50,136,48,1,31,4,0,75,2,105,2,1,1,0,0,7,119,17,92,6,1,66,0,0,0,1,3,63,0,0,1,42
455,Marinated Three-Bean Salad,253,1,0,1,957,46,15,7,16,0,97,6,922,0,1,0,0.4,0,0,486,92,278,5,2,24,0.3,0.1,21,0,53,225,0.3,0.2,1,70
644,Shirini,253,7,1,0,5,50,2,44,2,0,35,1,316,1,5,4,0.9,0,0,219,27,53,1,0,53,0.2,0,10,0,1,28,0.1,0.1,1,12
675,South of the Border Salad,253,6,1,0,497,44,10,5,11,0,68,3,614,4,1,1,0.1,0,0,342,66,201,2,1,8,0.2,0,7,0,0,122,0.3,0.1,1,0
105,Blueberry Muffins,252,10,2,32,195,37,1,20,4,0,67,1,69,4,4,4,0.5,0,5,53,8,68,10,0,20,0,0.1,2,1,15,67,0.2,0.2,1,30
217,Corn Soup,252,7,2,26,497,41,5,7,11,0,29,2,519,2,1,1,0.1,1,0,170,55,202,7,3,35,0.4,0,13,1,2,85,0.1,0.2,4,75
375,Ground Beef Stew,252,3,1,33,525,41,7,13,16,0,68,3,1136,1,0,0,0.1,0,0,340,61,222,14,4,779,0.7,1.3,39,1,17,45,0.2,0.2,6,70
461,Meatball Soup,252,7,2,82,421,30,7,5,17,0,111,4,488,3,1,1,0.1,0,7,251,71,227,19,4,230,0.4,0,8,1,45,44,0.2,0.3,5,105
582,Quesadilla con Huevos,252,11,5,108,448,27,2,1,11,1,182,2,127,4,1,1,0.1,0,15,95,18,185,21,1,77,0.1,0.3,0,0,2,100,0.3,0.3,2,80
826,Very Berry Smoothie,252,1,0,2,56,59,13,37,7,1,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,84,0.4,0.6,82,1,13,66,0.2,0.4,2,52
376,Ham and Swiss Breakfast Casserole,251,11,6,112,0,17,2,4,20,1,332,2,245,4,1,1,0.2,1,6,146,37,334,26,3,111,0.2,1.6,0,0,2,42,0.4,0.4,2,83
432,Lentil Spaghetti Sauce,251,8,3,50,85,23,7,9,21,0,60,4,846,3,1,1,0.2,0,0,288,57,263,15,5,44,0.6,1.7,5,3,20,113,0.2,0.2,9,82
558,Pizza Meat Loaf,251,16,4,86,309,6,1,3,22,0,106,2,416,5,4,3,0.2,15,8,205,35,262,30,3,57,0.5,1.4,17,1,8,16,0.1,0.3,8,68
270,Easy Stuffed Pasta Shells,250,7,3,18,334,29,4,7,16,0,268,2,461,2,1,1,0.2,0,0,201,59,259,26,1,238,0.3,0.7,2,3,162,121,0.2,0.3,5,33
337,Garden Cannellini Bean Salad,250,9,1,0,60,33,9,8,11,0,100,4,1695,7,3,2,0.2,0,0,901,201,360,3,4,106,0.3,0,54,7,94,243,0.4,0.3,2,95
734,Sweet and Juicy Raisin Tapenade,250,6,1,0,220,49,5,22,5,0,23,2,317,3,1,1,0.1,0,0,217,29,79,10,0,0,0.1,0,1,1,3,10,0.1,0.1,1,11
754,Tex-Mex Skillet,250,5,1,30,410,31,12,3,20,0,60,2,872,2,7,1,0.1,0,0,0,101,375,30,5,40,0.5,1.3,18,1,18,124,0.4,0.3,6,88